state-province,web_pages,alpha_two_code,country,name,domains,
null,http://www.ismdhanbad.ac.in/,IN,India,Indian School of Mines (ISM),ismdhanbad.ac.in,
null,http://www.itmindia.edu/,IN,India,Institute of Technology and Management,itmindia.edu,
null,http://www.iur.ac.in/,IN,India,Indian University,iur.ac.in,
null,http://www.ivri.nic.in/,IN,India,Indian Veterinary Research Institute,ivri.nic.in,
null,http://www.jadavpur.edu/,IN,India,Jadavpur University,jadavpur.edu,
null,http://www.jainuniversity.org/,IN,India,First Global University to teaching Jainism,jainuniversity.org,
null,http://www.jamiahamdard.edu/,IN,India,Jamia Hamdard University,jamiahamdard.edu,
null,http://www.jammuvarsity.org/,IN,India,University of Jammu,jammuvarsity.org,
null,http://www.jiit.ac.in/,IN,India,Jaypee Institute of Information Technology,jiit.ac.in,
null,http://www.jiwaji.edu/,IN,India,Jiwaji University,jiwaji.edu,
null,http://jmi.nic.in/,IN,India,Jamia Millia Islamia University,jmi.nic.in,
null,http://www.jncasr.ac.in/,IN,India,Jawaharlal Nehru Centre for Advanced  Scientific Research,jncasr.ac.in,
null,http://www.jnkvv.nic.in/,IN,India,Jawaharlal Nehru Agricultural University,jnkvv.nic.in,
null,http://www.jntu.ac.in/,IN,India,Jawaharlal Nehru Technological University,jntu.ac.in,
null,http://www.jnu.ac.in/,IN,India,Jawaharlal Nehru University,jnu.ac.in,
null,http://www.jnujaipur.ac.in/,IN,India,Jaipur National University,jnujaipur.ac.in,
null,http://www.jodhpurnationaluniversity.com/,IN,India,Jodhpur National University,jodhpurnationaluniversity.com,
null,http://jpv.bih.nic.in/,IN,India,Jai Prakash University,jpv.bih.nic.in,
null,http://www.jrnrvu.org/,IN,India,Rajasthan Vidyapeeth University,jrnrvu.org,
null,http://www.jvbi.ac.in/,IN,India,Jain Vishva Bharati Institute,jvbi.ac.in,
null,http://www.kalingauniversity.com/,IN,India,Kalinga University,kalingauniversity.com,
null,http://www.kanchiuniv.ac.in/,IN,India,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,kanchiuniv.ac.in,
null,http://www.kannadauniversity.org/,IN,India,Kannada University,kannadauniversity.org,
null,http://www.kannuruniversity.ac.in/,IN,India,Kannur University,kannuruniversity.ac.in,
null,http://www.kanpuruniversity.org/,IN,India,Chhatrapati Shahu Ji Maharaj University,kanpuruniversity.org,
null,http://www.kanpuruniversity.org/,IN,India,Kanpur University,kanpuruniversity.org,
null,http://www.karnatakastateopenuniversity.in/,IN,India,Karnataka State Open University,karnatakastateopenuniversity.in,
null,http://www.karpagamuniv.com/,IN,India,Karpagam University,karpagamuniv.com,
null,http://www.karunya.edu/,IN,India,Karunya Institute Of Technology ( Deemed University),karunya.edu,
null,http://kashmiruniversity.net/,IN,India,University of Kashmir,kashmiruniversity.net,
null,http://www.kau.edu/,IN,India,Kerala Agricultural University,kau.edu,
null,http://www.keralauniversity.ac.in/,IN,India,University of Kerala,keralauniversity.ac.in,
null,http://kimi.kohinoor.ac.in/,IN,India,Kohinoor School of Hospitality Management,kimi.kohinoor.ac.in,
null,http://www.klyuniv.ac.in/,IN,India,University of Kalyani,klyuniv.ac.in,
null,http://www.krishnauniversity.ac.in/,IN,India,Krishna University,krishnauniversity.ac.in,
null,http://www.ksdsu.edu.in/,IN,India,Kameshwar Singh Darbhanga Sanskrit University,ksdsu.edu.in,
null,http://www.kslu.ac.in/,IN,India,Karnataka State Law University,kslu.ac.in,
null,http://www.kud.ac.in/,IN,India,Karnatak University,kud.ac.in,
null,http://www.kufos.ac.in/,IN,India,Kerala University of Fisheries and Ocean Sciences,kufos.ac.in,
null,http://www.kukinfo.com/,IN,India,Kurukshetra University,kukinfo.com,
null,http://www.kct.ac.in/,IN,India,Kumaraguru College of Technology,kct.ac.in,
null,http://www.kumaununiversity.org/,IN,India,Kumaun University,kumaununiversity.org,
null,http://www.kuvempu.ac.in/,IN,India,Kuvempu University,kuvempu.ac.in,
null,http://www.kuwarangal.com/,IN,India,Kakatiya University,kuwarangal.com,
null,http://www.ldceahd.org/,IN,India,L.D.College of Engineering,ldceahd.org,
null,http://www.lnipe.edu/,IN,India,Lakshmibai National Institute of Physical Education,lnipe.edu,
null,http://lnmu.bih.nic.in/,IN,India,Lalit Narayan Mithila University,lnmu.bih.nic.in,
null,http://www.lucknowuniv.org/,IN,India,University of Lucknow,lucknowuniv.org,
null,http://www.macfast.org/,IN,India,Mar Athanasios College for Advanced Studies,macfast.org,
null,http://www.magadhuniversity.org/,IN,India,Magadh University,magadhuniversity.org,
null,http://www.mangaloreuniversity.ac.in/,IN,India,Mangalore University,mangaloreuniversity.ac.in,
null,http://www.manipal.edu/,IN,India,Manipal University,manipal.edu,
null,http://www.manipur.nic.in/maniuniversity.htm,IN,India,Manipur University,manipur.nic.in,
null,http://www.manuu.ac.in/,IN,India,Moulana Azad national Urdu University,manuu.ac.in,
null,http://www.mcu.ac.in/,IN,India,Makanlal Chutur Vedi University,mcu.ac.in,
null,http://www.mcu.ac.in/,IN,India,Makhanlal Chaturvedi National University of Journalism and Communication,mcu.ac.in,
null,http://www.mdsuajmer.ac.in/,IN,India,Maharshi Dayanand Sarswati University Ajmer,mdsuajmer.ac.in,
null,http://www.mdurohtak.com/,IN,India,Maharishi Dayanand University, Rohtak (Haryana ),mdurohtak.com,
null,http://www.mgkvp.ac.in/,IN,India,Mahatma Gandhi Kashi Vidyapith,mgkvp.ac.in,
null,http://www.mgsubikaner.ac.in/,IN,India,Maharaja Ganga Singh University, Bikaner,mgsubikaner.ac.in,
null,http://www.mgu.ac.in/,IN,India,Mahatma Gandhi University, Kerala,mgu.ac.in,
null,http://www.mjpru.ac.in/,IN,India,Mahatma Jyotiba Phule Rohilkhand University Bareilly,mjpru.ac.in,
null,http://www.mkuhyd.com/,IN,India,Madurai Kamaraj University,mkuhyd.com,
null,http://mkv2.mah.nic.in/,IN,India,Marathwada Agricultural University,mkv2.mah.nic.in,
null,http://www.mlsu.ac.in/,IN,India,Mohan Lal Sukhadia University,mlsu.ac.in,
null,http://www.mnnit.ac.in/,IN,India,Motilal Nehru National Institute Of Technology,mnnit.ac.in,
null,http://www.mpbou.org/,IN,India,Madhya Pradesh Bhoj (Open) University,mpbou.org,
null,http://mpkv.mah.nic.in/,IN,India,Mahatma Phule Agricultural University,mpkv.mah.nic.in,
null,http://www.msubaroda.ac.in/,IN,India,Maharaja Sayajirao University of Baroda,msubaroda.ac.in,
null,http://www.mu.ac.in/,IN,India,University of Mumbai,mu.ac.in,
null,http://www.nagarjunauniversity.ac.in/,IN,India,Acharya Nagarjuna University,nagarjunauniversity.ac.in,
null,http://www.nagauniv.org.in/,IN,India,Nagaland University,nagauniv.org.in,
null,http://www.nagpur-university.com/,IN,India,Nagpur University,nagpur-university.com,
null,http://www.nalandaopenuniversity.info/,IN,India,Nalanda Open University,nalandaopenuniversity.info,
null,http://www.nationalmuseumindia.org/nmi/index.htm,IN,India,National Museum Institute of History of Art, Conservation and Museology,nationalmuseumindia.org,
null,http://www.nbu.ac.in/,IN,India,University of North Bengal,nbu.ac.in,
null,http://ndri.nic.in/,IN,India,National Dairy Research Institute,ndri.nic.in,
null,http://www.nduat.nic.in/,IN,India,Narendra Deva University of Agriculture and Technology,nduat.nic.in,
null,http://www.nehu.ac.in/,IN,India,North Eastern Hill University,nehu.ac.in,
null,http://www.ngu.ac.in/,IN,India,Hemchandracharay North Gujarat University,ngu.ac.in,
null,http://www.nimhans.kar.nic.in/,IN,India,National Institute of Mental Health and Neuro Sciences,nimhans.kar.nic.in,
null,http://nims.ap.nic.in/,IN,India,Nizam's Institute of Medical Sciences,nims.ap.nic.in,
null,http://www.nims.net.in/,IN,India,Institute of Management Studies,nims.net.in,
null,http://www.nirmauni.ac.in/,IN,India,Nirma University,nirmauni.ac.in,
null,http://www.nitie.edu/,IN,India,National Institute of Industrial Engineering,nitie.edu,
